Address,Price,Area,Rooms,Expenses_per_sqm,Age of Building,Floor,Floor_Category,District,District_Floor,Elevator,Balcony,Patio,Fireplace,Subway Station,Grocery Store,Gym,Bakery,Latitude,Longitude
Tellusborgsvägen 98,3550000,45.5,2.0,68.06776556776556,107.0,2.0,Lo,Telefonplan,Telefonplan-Lo,1,1,0,0,253,88,161,170,59.29735109999999,18.0010957
Pingstvägen 44,2595000,35.0,1.0,91.6,84.0,3.0,Lo,LM-Staden,LM-Staden-Lo,0,0,0,0,347,275,331,121,59.3013316,17.9969935
Responsgatan 14,3050000,53.0,2.0,73.19036141999368,5.0,5.0,Mid,Telefonplan,Telefonplan-Mid,1,1,0,0,384,84,69,214,59.29665749999999,18.0030007
Responsgatan 14,4295000,55.2,2.0,73.19036141999368,4.0,3.0,Lo,Telefonplan,Telefonplan-Lo,0,0,0,0,384,84,69,214,59.29665749999999,18.0030007
Responsgatan 36,2079000,27.0,2.0,81.79840067340068,1.0,2.0,Lo,Telefonplan,Telefonplan-Lo,1,1,0,0,361,133,58,126,59.2974559,18.0031599
Responsgatan 36,2460000,32.0,2.0,81.79840067340068,1.0,3.0,Lo,Telefonplan,Telefonplan-Lo,1,1,0,0,361,133,58,126,59.2974559,18.0031599
Tellusborgsvägen 90,2750000,35.0,1.5,73.57328186007432,12.0,1.0,Lo,Midsommarkransen,Midsommarkransen-Lo,0,0,0,0,294,251,77,56,59.29883299999999,18.0020192
Tegelbruksvägen 8C,3050000,32.0,2.0,52.262499999999996,88.0,2.0,Lo,Midsommarkransen,Midsommarkransen-Lo,0,0,0,0,194,179,786,189,59.30281830000001,18.0148654
Lm Ericssons väg 10B,4000000,49.0,2.0,50.40816326530612,2.0,3.0,Lo,Telefonplan,Telefonplan-Lo,1,1,0,0,220,153,186,77,59.29998680000001,17.9952989
Responsgatan 14,2750000,46.0,2.0,73.19036141999368,5.0,3.0,Lo,Telefonplan,Telefonplan-Lo,1,1,0,0,384,84,69,214,59.29665749999999,18.0030007
Telefonvägen 21,5215000,71.0,3.0,66.87323943661971,31.0,1.0,Lo,Midsommarkransen,Midsommarkransen-Lo,1,0,1,0,290,192,165,171,59.2997977,18.0010406
Pingstvägen 34,1895000,22.0,1.0,100.25691699604742,85.0,3.0,Lo,LM-Staden,LM-Staden-Lo,0,1,0,0,391,319,363,166,59.3017246,17.9971426
Tångvägen 44,3050000,56.0,3.0,73.33928571428571,80.0,3.0,Lo,Hökmossen,Hökmossen-Lo,0,1,0,0,719,645,506,764,59.292005,17.9935857
Radiusbacken 15,8350000,116.0,5.0,56.53448275862069,86.0,1.0,Lo,Midsommarkransen,Midsommarkransen-Lo,1,0,0,0,430,276,77,93,59.29855540000001,18.004505
Responsgatan 12,2695000,46.0,2.0,68.34034290044521,5.0,1.0,Lo,Telefonplan,Telefonplan-Lo,1,0,0,0,380,69,96,237,59.29645899999999,18.0027115
Cedergrensvägen 47,3300000,51.0,2.0,67.2156862745098,85.0,1.0,Lo,LM-Staden,LM-Staden-Lo,0,0,0,0,264,196,344,84,59.30054560000001,17.9979008
Radiusbacken 39,2700000,39.0,2.0,76.66160012099215,,1.0,Lo,Midsommarkransen,Midsommarkransen-Lo,1,0,0,0,452,261,121,125,59.2981749,18.0049208
Tegelbruksvägen 7,6000000,72.0,3.0,72.29444444444444,78.0,2.0,Lo,Midsommarkransen,Midsommarkransen-Lo,1,1,0,0,133,133,717,165,59.30283069999999,18.0133449
