Address,District,Price,Living Area,Side Area,Rooms,Monthly Fee,Floor,Year of Building,Elevator,Balcony,Patio,Fireplace,Date of Sale,Days for Sale,Latitude,Longitude
Tångvägen 33,Hökmossen,2800000,54.5,0.0,2.0,4254,3.0,1944.0,0,1,0,0,2024-08-21,12,59.2919157,17.9942216
Kransbindarvägen 29,LM-Staden,2810000,35.0,0.0,1.0,3206,2.0,1940.0,0,0,0,0,2024-05-22,10,59.3023537,17.9992087
Tellusborgsvägen 45B,Gamla Midsommarkransen,8900000,100.0,0.0,4.0,6385,1.0,1910.0,0,0,0,1,2024-01-19,15,59.30298229999999,18.0071446
Fastlagsvägen 54,Midsommarkransen,2695000,43.0,0.0,1.5,2691,1.0,1992.0,1,0,1,0,2024-06-27,26,59.3030206,17.9925257
Responsgatan 14,Telefonplan,2810000,46.0,0.0,2.0,3135,6.0,2019.0,1,1,0,0,2024-02-28,13,59.29665749999999,18.0030007
Svandammsvägen 23,Midsommarkransen,3000000,39.0,0.0,1.5,2638,3.0,1939.0,0,0,0,0,2024-04-27,15,59.30141769999999,18.0109782
Responsgatan 14,Telefonplan,2500000,33.0,0.0,1.0,2249,2.0,2019.0,1,1,0,0,2024-07-24,117,59.29665749999999,18.0030007
Midsommarvägen 41,Midsommarkransen,5650000,70.0,0.0,2.0,3336,4.0,2007.0,1,1,0,1,2024-08-30,20,59.299547,18.0056583
Tellusborgsvägen 90,Midsommarkransen,3470000,53.0,0.0,2.0,3808,2.0,2012.0,0,0,0,0,2024-01-24,16,59.29883299999999,18.0020192
Radiusbacken 4,Telefonplan,3300000,44.0,0.0,2.0,2989,3.0,2011.0,1,0,0,0,2024-05-15,9,59.2982208,18.0031575
Hökmossevägen 7,Hökmossen,2600000,42.5,0.0,2.0,3502,3.0,1944.0,0,1,0,0,2024-08-28,7,59.2927132,17.9972207
Midsommarparken 5A,Midsommarkransen,2900000,40.0,0.0,2.0,2791,3.0,1939.0,0,0,0,0,2024-02-28,13,59.3009905,18.0130217
Majstångsvägen 5,Gamla Midsommarkransen,4950000,47.0,0.0,2.0,3203,2.0,1910.0,0,0,0,1,2024-08-26,10,59.3030558,18.0087941
Midsommarvägen 55,Midsommarkransen,5995000,73.0,0.0,3.0,3873,4.0,2009.0,1,1,0,1,2024-03-26,17,59.29962150000001,18.0042519
Responsgatan 14,Telefonplan,3145000,54.0,0.0,2.0,3680,1.0,2020.0,1,0,1,0,2024-05-10,41,59.29665749999999,18.0030007
Flygelgatan 4,Telefonplan,3300000,43.5,0.0,2.0,3316,4.0,2012.0,1,0,0,0,2024-07-24,100,59.29830860000001,18.0015267
Pingstvägen 37,LM-Staden,3198000,51.0,0.0,2.0,4232,1.0,1940.0,0,0,0,0,2024-04-14,66,59.3011427,17.9956571
Tellusborgsvägen 92,Telefonplan,4110000,65.0,0.0,2.0,4670,,2012.0,1,1,0,0,2024-05-10,0,59.2986728,18.0014302
Responsgatan 18,Telefonplan,2850000,46.0,0.0,2.0,3603,6.0,2019.0,1,1,0,0,2024-01-29,122,59.29709949999999,18.0038945
Tångvägen 20,Hökmossen,2750000,42.5,0.0,2.0,3502,3.0,1944.0,0,1,0,0,2024-08-16,13,59.2936676,17.9959546
Midsommarparken 5A,Midsommarkransen,5420000,70.0,0.0,3.0,5182,1.0,1936.0,0,0,0,0,2024-05-30,25,59.3009905,18.0130217
Valsbergs gränd 4,Midsommarkransen,4500000,67.0,0.0,3.0,5259,3.0,1944.0,0,1,0,0,2024-01-19,32,59.3010302,18.0099272
Tellusgången 32,Telefonplan,5150000,73.0,0.0,3.0,5026,3.0,2015.0,1,1,0,0,2024-05-27,86,59.29881809999999,17.9896204
Svandammsvägen 21,Midsommarkransen,3350000,32.0,0.0,2.0,2992,,1939.0,0,0,0,0,2024-04-18,14,59.301427,18.0113617
Valsbergs gränd 5,Midsommarkransen,3300000,44.0,0.0,2.0,3371,1.0,1944.0,0,1,0,0,2024-08-02,29,59.3006736,18.0103913
Hökmossevägen 7,Hökmossen,2600000,42.5,0.0,2.0,3502,3.0,1944.0,0,1,0,0,2024-08-28,7,59.2927132,17.9972207
Tellusborgsvägen 75,Telefonplan,5675000,74.0,0.0,3.0,4712,4.0,2011.0,1,1,0,0,2024-03-05,23,59.29810490000001,18.0024547
